Name,,Category,Type,Share settings,Actions
All-encompassing,Всеобъемлющий,Genre / Ambient,GPT,,
Atmospheric,Атмосферный,Genre / Ambient,GPT,,
Background,Фоновый,Genre / Ambient,GPT,,
Diffused,Рассеянный,Genre / Ambient,GPT,,
Encompassing,Охватывающий,Genre / Ambient,GPT,,
Enveloping,Обволакивающий,Genre / Ambient,GPT,,
Pervasive,Всепроникающий,Genre / Ambient,GPT,,
Soft,Мягкий,Genre / Ambient,GPT,,
Surrounding,Окружающий,Genre / Ambient,GPT,,
Ambient,Окружающий,Genre / Ambient,Default,,
Chicago Blues,Чикаго-блюз,Genre / Blues,GPT,,
Country Blues,Кантри-блюз,Genre / Blues,GPT,,
Delta Blues,Дельта-блюз,Genre / Blues,GPT,,
Electric Blues,Электрик-блюз,Genre / Blues,GPT,,
Jazz Blues,Джаз-блюз,Genre / Blues,GPT,,
Melancholy,Меланхолия (в переносном смысле),Genre / Blues,GPT,,
Rhythm Blues (R&B),Ритм-энд-блюз,Genre / Blues,GPT,,
Sadness,Грусть (как настроение),Genre / Blues,GPT,,
Slow Blues,Медленный блюз,Genre / Blues,GPT,,
Soul Blues,Соул-блюз,Genre / Blues,GPT,,
Blues,Блюз,Genre / Blues,Default,,
Academic,Академический,Genre / Classical,GPT,,
Baroque,Барочный,Genre / Classical,GPT,,
Chamber,Камерный,Genre / Classical,GPT,,
Classic,Классика,Genre / Classical,GPT,,
Classical,Классический,Genre / Classical,GPT,,
Cultured,Культурный,Genre / Classical,GPT,,
Elegant,Элегантный,Genre / Classical,GPT,,
Orchestral,Оркестровый,Genre / Classical,GPT,,
Refined,Изысканный,Genre / Classical,GPT,,
Sophisticated,Утончённый,Genre / Classical,GPT,,
Symphonic,Симфонический,Genre / Classical,GPT,,
Timeless,Вневременной,Genre / Classical,GPT,,
Traditional,Традиционный,Genre / Classical,GPT,,
Classical,Классический,Genre / Classical,Default,,
Fatherland,Отчизна,Genre / Country,GPT,,
Homeland,Родина,Genre / Country,GPT,,
Kingdom,Королевство,Genre / Country,GPT,,
Land,"Земля, край",Genre / Country,GPT,,
Motherland,Отечество,Genre / Country,GPT,,
Nation,Нация,Genre / Country,GPT,,
Province,Провинция,Genre / Country,GPT,,
Region,Регион,Genre / Country,GPT,,
Republic,Республика,Genre / Country,GPT,,
State,Государство,Genre / Country,GPT,,
Territory,Территория,Genre / Country,GPT,,
Country,Страна,Genre / Country,Default,,
Deep House,Дип-хаус,Genre / Dance,GPT,,
Disco,Диско,Genre / Dance,GPT,,
Drum & Bass,Драм-н-бэйс,Genre / Dance,GPT,,
Dubstep,Дабстеп,Genre / Dance,GPT,,
EDM (Electronic Dance Music),Электронная танцевальная музыка,Genre / Dance,GPT,,
Electro,Электро,Genre / Dance,GPT,,
Eurodance,Евродэнс,Genre / Dance,GPT,,
Funky House,Фанки-хаус,Genre / Dance,GPT,,
Future Bass,Фьючер-бэйс,Genre / Dance,GPT,,
Hardstyle,Хардстайл,Genre / Dance,GPT,,
House,Хаус,Genre / Dance,GPT,,
Progressive House,Прогрессив-хаус,Genre / Dance,GPT,,
Psytrance,Псайтранс,Genre / Dance,GPT,,
Techno,Техно,Genre / Dance,GPT,,
Trance,Транс,Genre / Dance,GPT,,
Trap,Трэп,Genre / Dance,GPT,,
Dance,Танец,Genre / Dance,Default,,
Ambient,Эмбиент,Genre / Electronic,GPT,,
Big Beat,Биг-бит,Genre / Electronic,GPT,,
Breakbeat,Брейкбит,Genre / Electronic,GPT,,
Chillwave,Чилвейв,Genre / Electronic,GPT,,
Digital,Цифровой,Genre / Electronic,GPT,,
Downtempo,Даунтемпо,Genre / Electronic,GPT,,
Dubstep,Дабстеп,Genre / Electronic,GPT,,
EDM (Electronic Dance Music),Электронная танцевальная музыка,Genre / Electronic,GPT,,
Electro,Электро,Genre / Electronic,GPT,,
Electroclash,Электроклэш,Genre / Electronic,GPT,,
Electronica,Электроника,Genre / Electronic,GPT,,
Experimental,Экспериментальный,Genre / Electronic,GPT,,
Future Bass,Фьючер-бэйс,Genre / Electronic,GPT,,
Glitch,Глитч,Genre / Electronic,GPT,,
Hardstyle,Хардстайл,Genre / Electronic,GPT,,
House,Хаус,Genre / Electronic,GPT,,
IDM (Intelligent Dance Music),Интеллектуальная танцевальная музыка,Genre / Electronic,GPT,,
Industrial,Индастриал,Genre / Electronic,GPT,,
Synthwave,Синтвейв,Genre / Electronic,GPT,,
Techno,Техно,Genre / Electronic,GPT,,
Trance,Транс,Genre / Electronic,GPT,,
Electronic,Электронный,Genre / Electronic,Default,,
Acoustic,Акустический,Genre / Folk,GPT,,
Americana,Американа,Genre / Folk,GPT,,
Ballad,Баллада,Genre / Folk,GPT,,
Bluegrass,Блюграсс,Genre / Folk,GPT,,
Celtic,Кельтский,Genre / Folk,GPT,,
Country Folk,Кантри-фолк,Genre / Folk,GPT,,
Ethnic,Этнический,Genre / Folk,GPT,,
Folklore,Фольклор,Genre / Folk,GPT,,
Gypsy Folk,Цыганский фолк,Genre / Folk,GPT,,
Heritage,Наследие,Genre / Folk,GPT,,
Indie Folk,Инди-фолк,Genre / Folk,GPT,,
Neo-Folk,Неофолк,Genre / Folk,GPT,,
Nordic Folk,Скандинавский фолк,Genre / Folk,GPT,,
Pastoral,Пасторальный,Genre / Folk,GPT,,
Regional,Региональный,Genre / Folk,GPT,,
Roots,Корневой,Genre / Folk,GPT,,
Singer-Songwriter,Авторская песня,Genre / Folk,GPT,,
Traditional,Традиционный,Genre / Folk,GPT,,
World Music,Музыка народов мира,Genre / Folk,GPT,,
Folk,Народ,Genre / Folk,Default,,
Acid Funk,Эйсид-фанк,Genre / Funk,GPT,,
Afro-Funk,Афро-фанк,Genre / Funk,GPT,,
Boogie,Буги,Genre / Funk,GPT,,
Disco Funk,Диско-фанк,Genre / Funk,GPT,,
Electro Funk,Электро-фанк,Genre / Funk,GPT,,
Funk Metal,Фанк-метал,Genre / Funk,GPT,,
Funk Rock,Фанк-рок,Genre / Funk,GPT,,
G-Funk (Gangsta Funk),G-фанк,Genre / Funk,GPT,,
Groove,Грув,Genre / Funk,GPT,,
Jazz Funk,Джаз-фанк,Genre / Funk,GPT,,
P-Funk (Parliament-Funkadelic),P-фанк,Genre / Funk,GPT,,
R&B Funk,Ритм-энд-блюз фанк,Genre / Funk,GPT,,
Soul Funk,Соул-фанк,Genre / Funk,GPT,,
Funk,Фанк,Genre / Funk,Default,,
Alternative Hip Hop,Альтернативный хип-хоп,Genre / Hip hop/rap,GPT,,
Boom Bap,Бум-бэп,Genre / Hip hop/rap,GPT,,
Cloud Rap,Клауд-рэп,Genre / Hip hop/rap,GPT,,
Conscious Hip Hop,Осознанный хип-хоп,Genre / Hip hop/rap,GPT,,
Crunk,Кранк,Genre / Hip hop/rap,GPT,,
Drill,Дрилл,Genre / Hip hop/rap,GPT,,
East Coast Hip Hop,Ист-Кост хип-хоп,Genre / Hip hop/rap,GPT,,
G-Funk,G-фанк,Genre / Hip hop/rap,GPT,,
Gangsta Rap,Гангста-рэп,Genre / Hip hop/rap,GPT,,
Hardcore Rap,Хардкор-рэп,Genre / Hip hop/rap,GPT,,
Hip Hop,Хип-хоп,Genre / Hip hop/rap,GPT,,
Jazz Rap,Джаз-рэп,Genre / Hip hop/rap,GPT,,
Latin Hip Hop,Латино-хип-хоп,Genre / Hip hop/rap,GPT,,
Lo-Fi Hip Hop,Лоу-фай хип-хоп,Genre / Hip hop/rap,GPT,,
Mumble Rap,Мамбл-рэп,Genre / Hip hop/rap,GPT,,
New School Hip Hop,Ньюскул хип-хоп,Genre / Hip hop/rap,GPT,,
Old School Hip Hop,Олдскул хип-хоп,Genre / Hip hop/rap,GPT,,
Rap,Рэп,Genre / Hip hop/rap,GPT,,
Southern Hip Hop,Южный хип-хоп,Genre / Hip hop/rap,GPT,,
Trap,Трэп,Genre / Hip hop/rap,GPT,,
West Coast Hip Hop,Вест-Кост хип-хоп,Genre / Hip hop/rap,GPT,,
Hip hop/rap,Хип-хоп/рэп,Genre / Hip hop/rap,Default,,
Alternative,Альтернативный,Genre / Indie,GPT,,
Dream Pop,Дрим-поп,Genre / Indie,GPT,,
Folk Indie,Инди-фолк,Genre / Indie,GPT,,
Garage Rock,Гаражный рок,Genre / Indie,GPT,,
Independent,Независимый,Genre / Indie,GPT,,
Indie Electronic,Инди-электроника,Genre / Indie,GPT,,
Indie Pop,Инди-поп,Genre / Indie,GPT,,
Indie Rock,Инди-рок,Genre / Indie,GPT,,
Lo-Fi,Лоу-фай,Genre / Indie,GPT,,
Post-Punk Revival,Пост-панк-ривайвл,Genre / Indie,GPT,,
Shoegaze,Шугейз,Genre / Indie,GPT,,
Indie,Инди,Genre / Indie,Default,,
Acid Jazz,Эйсид-джаз,Genre / Jazz,GPT,,
Avant-Garde Jazz,Авангардный джаз,Genre / Jazz,GPT,,
Bebop,Бибоп,Genre / Jazz,GPT,,
Big Band,Биг-бэнд,Genre / Jazz,GPT,,
Blues Jazz,Блюз-джаз,Genre / Jazz,GPT,,
Cool Jazz,Кул-джаз,Genre / Jazz,GPT,,
Dixieland,Диксиленд,Genre / Jazz,GPT,,
Free Jazz,Фри-джаз,Genre / Jazz,GPT,,
Fusion,Фьюжн,Genre / Jazz,GPT,,
Gypsy Jazz,Цыганский джаз,Genre / Jazz,GPT,,
Hard Bop,Хард-боп,Genre / Jazz,GPT,,
Jazz Funk,Джаз-фанк,Genre / Jazz,GPT,,
Latin Jazz,Латино-джаз,Genre / Jazz,GPT,,
Modal Jazz,Модальный джаз,Genre / Jazz,GPT,,
New Orleans Jazz,Нью-орлеанский джаз,Genre / Jazz,GPT,,
Ragtime,Регтайм,Genre / Jazz,GPT,,
Smooth Jazz,Смуз-джаз,Genre / Jazz,GPT,,
Swing,Свинг,Genre / Jazz,GPT,,
Jazz,Джаз,Genre / Jazz,Default,,
Bachata,Бачата,Genre / Latin,GPT,,
Bolero,Болеро,Genre / Latin,GPT,,
Bossa Nova,Босса-нова,Genre / Latin,GPT,,
Cumbia,Кумбия,Genre / Latin,GPT,,
Flamenco,Фламенко,Genre / Latin,GPT,,
Latin Jazz,Латино-джаз,Genre / Latin,GPT,,
Latin Music,Латиноамериканская музыка,Genre / Latin,GPT,,
Latin Pop,Латино-поп,Genre / Latin,GPT,,
Latino,Латино,Genre / Latin,GPT,,
Mambo,Мамбо,Genre / Latin,GPT,,
Merengue,Меренге,Genre / Latin,GPT,,
Reggaeton,Реггетон,Genre / Latin,GPT,,
Rumba,Румба,Genre / Latin,GPT,,
Salsa,Сальса,Genre / Latin,GPT,,
Samba,Самба,Genre / Latin,GPT,,
Tango,Танго,Genre / Latin,GPT,,
Latin,Латино,Genre / Latin,Default,,
Alternative Metal,Альтернативный метал,Genre / Metal,GPT,,
Black Metal,Блэк-метал,Genre / Metal,GPT,,
Death Metal,Дэт-метал,Genre / Metal,GPT,,
Doom Metal,Дум-метал,Genre / Metal,GPT,,
Folk Metal,Фолк-метал,Genre / Metal,GPT,,
Gothic Metal,Готик-метал,Genre / Metal,GPT,,
Groove Metal,Грув-метал,Genre / Metal,GPT,,
Heavy Metal,Хеви-метал,Genre / Metal,GPT,,
Industrial Metal,Индастриал-метал,Genre / Metal,GPT,,
Nu Metal,Ню-метал,Genre / Metal,GPT,,
Power Metal,Пауэр-метал,Genre / Metal,GPT,,
Progressive Metal,Прогрессив-метал,Genre / Metal,GPT,,
Sludge Metal,Сладж-метал,Genre / Metal,GPT,,
Speed Metal,Спид-метал,Genre / Metal,GPT,,
Symphonic Metal,Симфо-метал,Genre / Metal,GPT,,
Thrash Metal,Трэш-метал,Genre / Metal,GPT,,
Viking Metal,Викинг-метал,Genre / Metal,GPT,,
Metal,Металл,Genre / Metal,Default,,
Bubblegum Pop,Бабблгам-поп,Genre / Pop,GPT,,
Contemporary Pop,Современный поп,Genre / Pop,GPT,,
Dance Pop,Дэнс-поп,Genre / Pop,GPT,,
Electropop,Электропоп,Genre / Pop,GPT,,
Euro Pop,Евро-поп,Genre / Pop,GPT,,
Future Pop,Фьючер-поп,Genre / Pop,GPT,,
Indie Pop,Инди-поп,Genre / Pop,GPT,,
J-Pop,Джей-поп (японский поп),Genre / Pop,GPT,,
K-Pop,Кей-поп (корейский поп),Genre / Pop,GPT,,
Latin Pop,Латино-поп,Genre / Pop,GPT,,
Mainstream,Мейнстрим,Genre / Pop,GPT,,
Pop Music,Поп-музыка,Genre / Pop,GPT,,
Pop Rock,Поп-рок,Genre / Pop,GPT,,
Power Pop,Пауэр-поп,Genre / Pop,GPT,,
Soft Pop,Софт-поп,Genre / Pop,GPT,,
Synthpop,Синтипоп,Genre / Pop,GPT,,
Teen Pop,Тин-поп,Genre / Pop,GPT,,
Top 40,Топ-40,Genre / Pop,GPT,,
Pop,Поп,Genre / Pop,Default,,
Anarcho-Punk,Анархо-панк,Genre / Punk,GPT,,
Art Punk,Арт-панк,Genre / Punk,GPT,,
Crust Punk,Краст-панк,Genre / Punk,GPT,,
Cyberpunk Rock,Киберпанк-рок,Genre / Punk,GPT,,
Emo Punk,Эмо-панк,Genre / Punk,GPT,,
Folk Punk,Фолк-панк,Genre / Punk,GPT,,
Garage Punk,Гаражный панк,Genre / Punk,GPT,,
Glam Punk,Глэм-панк,Genre / Punk,GPT,,
Grindcore,Грайндкор,Genre / Punk,GPT,,
Hardcore Punk,Хардкор-панк,Genre / Punk,GPT,,
Horror Punk,Хоррор-панк,Genre / Punk,GPT,,
Oi! Punk,Ой! панк,Genre / Punk,GPT,,
Pop Punk,Поп-панк,Genre / Punk,GPT,,
Post-Punk,Пост-панк,Genre / Punk,GPT,,
Psychobilly,Психобилли,Genre / Punk,GPT,,
Punk Rock,Панк-рок,Genre / Punk,GPT,,
Queercore,Квиркор,Genre / Punk,GPT,,
Ska Punk,Ска-панк,Genre / Punk,GPT,,
Street Punk,Стрит-панк,Genre / Punk,GPT,,
Punk,Панк,Genre / Punk,Default,,
Alternative R&B,Альтернативный R&B,Genre / R&B,GPT,,
Blues,Блюз,Genre / R&B,GPT,,
