id,title,artist,album,duration,release_date,label,link,lyrics_author,music_author,created_at,genre_1,genre_2,genre_3,genre_4,genre_5,parent_link,source_type,yandex_id,album_processed,chart_position,music_author_canonical,lyrics_author_canonical,author_check_status
5,Песня про зайцев,Юрий Никулин,Лучшие песни,02:36,31.12.2020 (2021),Music RT,https://music.yandex.ru/track/78089786,Дербенёв Леонид Петрович,"Зацепин Александр Сергеевич, Дербенёв Леонид Петрович",2025-12-12 20:46:04.221778+00,ruspop,children,pop,,,,,78089786,true,,,,pending
10,Струны моей души,Владимир Кузьмин,О чём-то лучшем,04:41,2003,Первое музыкальное,https://music.yandex.ru/track/28123227,Кузьмин В.Б.,Кузьмин В.Б.,2025-12-12 22:01:58.58101+00,rusestrada,,,,,,rusestrada,28123227,true,,,,pending
11,Многоэтажные чувства,Ваня Дмитриенко,Плакса-2 (Оригинальный саундтрек),03:04,05.12.2024 (2024),Zion Music,https://music.yandex.ru/track/133459840,Контарев Максим,Жуков Сергей Евгеньевич,2025-12-12 22:05:22.494346+00,ruspop,tvseries,soundtrack,,,,,133459840,true,,,,pending
12,Темно перед рассветом,Ника Жукова,Плакса-2 (Оригинальный саундтрек),02:03,05.12.2024 (2024),Zion Music,https://music.yandex.ru/album/34229661/track/133459843,"Жуков Сергей Евгеньевич, Вашкевич Никита Романович, Вашкевич Олиша Евгеньевна","Жуков Сергей Евгеньевич, Вашкевич Никита Романович, Вашкевич Олиша Евгеньевна",2025-12-12 23:05:16.190212+00,soundtrack,ruspop,tvseries,,,,,133459843,true,,,,pending
15,Номер Занят,"OBLADAET, Словетский",Номер Занят,02:30,11.12.2025 (2025),Players Club Studio,https://music.yandex.ru/album/39602169/track/145928744,"Вотяков Назар, Преснов Валентин",Хакан Мустафаевич Текже,2025-12-13 09:34:05.061351+00,rusrap,,,,,,,145928744,true,,,,pending
19,Эти Глаза Напротив,Валерий Ободзинский,Эти Глаза Напротив,03:29,11.10.2015 (2015),Валерий Ободзинский,https://music.yandex.ru/album/2965651/track/25201457,,,2025-12-13 10:12:26.141772+00,rusestrada,,,,,,rusestrada,25201457,true,,,,pending
20,Вишнёвый рассвет,"Водограй, Камерный оркестр п/у Фёдора Глущенко","ВИА ""Водограй""",04:14,2008,"АО ""Фирма Мелодия""",https://music.yandex.ru/album/28684294/track/120347038,Вратарёв Александр,Некрич Михаил,2025-12-13 10:13:12.108983+00,pop,,,,,,,120347038,true,,,,pending
21,Вальс-Бостон,Александр Розенбаум,50 лучших песен,03:35,2024,United Music Group,https://music.yandex.ru/album/31800785/track/28513172,Розенбаум Александр,Розенбаум Александр,2025-12-13 16:23:55.616922+00,rusestrada,,,,,,rusestrada,28513172,true,,,,pending
22,Синица,JEMMY,VIRGIN,02:40,11.12.2025 (2025),VK Records,https://music.yandex.ru/track/145815764,Курбанова Жемал Ашыргелдиевна,"Бажмин Андрей Дмитриевич, Ванюшов Егор Олегович",2025-12-15 12:35:04.250132+00,ruspop,rnb,,,,,,145815764,true,,,,pending
24,Новый герой,Мираж,Сингл,00:00,Не указан,-,https://music.yandex.ru/album/4643639/track/36807669,Разина Светлана,"Литягин Андрей, Горбашов Алексей",2025-12-15 12:35:14.411137+00,rusestrada,,,,,,rusestrada,36807669,true,,,,pending
25,Мы все уйдём по одному,Сансара,OBLAKODER,02:54,28.11.2024 (2024),Sansara,https://music.yandex.ru/album/33937021/track/132733560,Саша Гагарин,"Саша Гагарин, Феликс Бондарев",2025-12-15 13:09:40.788535+00,local-indie,rusrock,,,,,,132733560,true,,,,pending
26,Temporarily Here,Artem Krymov,Temporarily Here,02:32,07.11.2024 (2024),Artem Krymov,https://music.yandex.ru/album/33910206/track/132669135,Крымов Артём Вячеславович,Крымов Артём Вячеславович,2025-12-15 19:00:39.547531+00,folk,electronics,soundtrack,,,,,132669135,true,,,,pending
